#/home/stan/fungal-genomics/test-data/raw/811-ND_S4_L001_R1_001.fastq.gz	2.0	36.0	Sanger;Illumina-1.8;	34.39+/-4.57	146	0.40053
#Pos	Min	Max	Mean	StDev	Skewness
41	14.0	36.0	35.16	3.74	-5.09
42	14.0	36.0	35.14	3.79	-5.03
43	14.0	36.0	35.06	3.95	-4.62
44	14.0	36.0	35.07	3.95	-4.71
45	14.0	36.0	35.17	3.71	-4.98
46	14.0	36.0	35.03	3.92	-4.60
47	14.0	36.0	35.04	3.95	-4.59
48	14.0	36.0	35.01	3.94	-4.58
49	14.0	36.0	35.02	3.89	-4.60
50	14.0	36.0	35.07	3.94	-4.67
51	14.0	36.0	34.93	4.17	-4.35
52	14.0	36.0	34.94	4.13	-4.41
53	14.0	36.0	34.98	4.06	-4.48
54	14.0	36.0	34.96	4.05	-4.47
55	14.0	36.0	35.05	3.84	-4.66
56	14.0	36.0	34.96	4.10	-4.45
57	14.0	36.0	34.86	4.13	-4.30
58	14.0	36.0	34.85	4.11	-4.27
59	14.0	36.0	34.90	3.97	-4.40
60	14.0	36.0	34.87	4.08	-4.37
61	14.0	36.0	34.86	4.17	-4.27
62	14.0	36.0	34.79	4.28	-4.11
63	14.0	36.0	34.88	4.10	-4.35
64	14.0	36.0	34.83	4.17	-4.28
65	14.0	36.0	34.76	4.21	-4.12
66	14.0	36.0	34.75	4.13	-4.11
67	14.0	36.0	34.82	4.23	-4.21
68	14.0	36.0	34.82	4.19	-4.19
69	14.0	36.0	34.72	4.18	-4.02
70	14.0	36.0	34.64	4.38	-3.87
71	14.0	36.0	34.66	4.22	-3.95
72	14.0	36.0	34.67	4.33	-3.93
73	14.0	36.0	34.65	4.34	-3.90
74	14.0	36.0	34.61	4.44	-3.83
75	14.0	36.0	34.66	4.25	-3.95
76	14.0	36.0	34.60	4.43	-3.82
77	14.0	36.0	34.67	4.35	-3.94
78	14.0	36.0	34.62	4.48	-3.83
79	14.0	36.0	34.60	4.45	-3.82
80	14.0	36.0	34.67	4.33	-3.97
81	14.0	36.0	34.60	4.46	-3.82
82	14.0	36.0	34.59	4.51	-3.82
83	14.0	36.0	34.63	4.49	-3.86
84	14.0	36.0	34.60	4.52	-3.82
85	14.0	36.0	34.64	4.49	-3.86
86	14.0	36.0	34.68	4.32	-3.95
87	14.0	36.0	34.48	4.72	-3.60
88	14.0	36.0	34.56	4.52	-3.78
89	14.0	36.0	34.47	4.63	-3.57
90	14.0	36.0	34.60	4.47	-3.80
91	14.0	36.0	34.43	4.75	-3.56
92	14.0	36.0	34.48	4.63	-3.63
93	14.0	36.0	34.39	4.84	-3.47
94	14.0	36.0	34.37	4.71	-3.45
95	14.0	36.0	34.45	4.55	-3.59
96	14.0	36.0	34.41	4.70	-3.56
97	14.0	36.0	34.30	5.01	-3.40
98	14.0	36.0	34.38	4.74	-3.49
99	14.0	36.0	34.38	4.77	-3.50
100	14.0	36.0	34.30	4.87	-3.41
101	14.0	36.0	34.18	5.13	-3.20
102	14.0	36.0	34.35	4.82	-3.46
103	14.0	36.0	34.32	4.94	-3.42
104	14.0	36.0	34.37	4.85	-3.48
105	14.0	36.0	34.15	5.19	-3.16
106	14.0	36.0	34.25	4.97	-3.30
107	14.0	36.0	34.39	4.72	-3.51
108	14.0	36.0	34.26	4.95	-3.34
109	14.0	36.0	34.36	4.94	-3.44
110	14.0	36.0	34.06	5.14	-3.12
111	14.0	36.0	34.16	4.98	-3.23
112	14.0	36.0	34.12	5.04	-3.17
113	14.0	36.0	34.16	5.00	-3.24
114	14.0	36.0	34.03	5.14	-3.10
115	14.0	36.0	33.98	5.13	-3.05
116	14.0	36.0	33.99	5.09	-3.10
117	14.0	36.0	33.99	5.17	-3.07
118	14.0	36.0	33.97	5.28	-3.04
119	14.0	36.0	33.95	5.32	-3.01
120	14.0	36.0	33.87	5.44	-2.96
121	14.0	36.0	33.91	5.21	-3.01
122	14.0	36.0	33.92	5.30	-3.01
123	14.0	36.0	33.88	5.39	-2.96
124	14.0	36.0	33.86	5.35	-2.94
125	14.0	36.0	33.92	5.33	-3.01
126	14.0	36.0	33.78	5.45	-2.88
127	14.0	36.0	33.85	5.47	-2.91
128	14.0	36.0	33.88	5.35	-2.97
129	14.0	36.0	33.71	5.58	-2.85
130	14.0	36.0	33.23	5.54	-2.52
131	14.0	36.0	33.32	5.54	-2.57
132	14.0	36.0	33.26	5.66	-2.52
133	14.0	36.0	33.29	5.60	-2.54
134	14.0	36.0	33.34	5.64	-2.58
135	14.0	36.0	33.39	5.48	-2.61
136	14.0	36.0	33.39	5.43	-2.64
137	14.0	36.0	33.20	5.74	-2.50
138	14.0	36.0	33.26	5.62	-2.53
139	14.0	36.0	33.28	5.60	-2.56
140	14.0	36.0	33.19	5.70	-2.49
141	14.0	36.0	33.25	5.66	-2.53
142	14.0	36.0	33.12	5.77	-2.44
143	14.0	36.0	32.53	5.65	-2.21
144	14.0	36.0	32.25	5.95	-2.07
145	14.0	36.0	32.53	5.71	-2.20
146	14.0	36.0	32.51	5.90	-2.17
147	14.0	36.0	32.58	5.68	-2.23
148	14.0	36.0	28.25	7.65	-0.88

#/home/stan/fungal-genomics/test-data/raw/811-ND_S4_L001_R2_001.fastq.gz	2.0	36.0	Sanger;Illumina-1.8;	34.37+/-4.46	146	0.40314
#Pos	Min	Max	Mean	StDev	Skewness
0	14.0	32.0	31.60	2.46	-6.33
1	2.0	32.0	31.58	2.68	-6.46
2	2.0	32.0	31.55	2.72	-6.22
3	2.0	32.0	31.63	2.43	-6.75
4	14.0	32.0	31.67	2.30	-7.03
5	14.0	36.0	35.44	2.93	-6.28
6	14.0	36.0	35.38	3.08	-5.89
7	14.0	36.0	35.36	3.17	-5.84
8	14.0	36.0	35.40	3.08	-5.99
9	14.0	36.0	35.34	3.26	-5.80
10	14.0	36.0	35.42	3.18	-6.11
11	14.0	36.0	35.36	3.26	-5.91
12	14.0	36.0	35.34	3.35	-5.82
13	14.0	36.0	35.36	3.21	-5.88
14	14.0	36.0	35.34	3.27	-5.80
15	14.0	36.0	35.30	3.42	-5.65
16	14.0	36.0	35.35	3.26	-5.84
17	14.0	36.0	35.38	3.13	-6.01
18	14.0	36.0	35.36	3.19	-5.92
19	14.0	36.0	35.34	3.29	-5.85
20	14.0	36.0	35.34	3.30	-5.81
21	14.0	36.0	35.29	3.45	-5.60
22	14.0	36.0	35.32	3.37	-5.70
23	14.0	36.0	35.31	3.31	-5.77
24	14.0	36.0	35.32	3.30	-5.80
25	14.0	36.0	35.24	3.57	-5.41
26	14.0	36.0	35.26	3.50	-5.48
27	14.0	36.0	35.25	3.55	-5.42
28	14.0	36.0	35.20	3.67	-5.19
29	14.0	36.0	35.30	3.35	-5.63
30	14.0	36.0	35.20	3.66	-5.25
31	14.0	36.0	35.26	3.47	-5.50
32	14.0	36.0	35.23	3.54	-5.38
33	14.0	36.0	35.26	3.54	-5.42
34	14.0	36.0	35.22	3.54	-5.33
35	2.0	36.0	35.19	3.73	-5.11
36	2.0	36.0	35.23	3.54	-5.31
37	2.0	36.0	35.14	3.86	-4.89
38	2.0	36.0	35.11	3.90	-4.85
39	2.0	36.0	35.09	3.93	-4.72
40	14.0	36.0	35.08	3.94	-4.72
41	2.0	36.0	35.21	3.66	-5.18
42	14.0	36.0	35.07	3.88	-4.69
43	2.0	36.0	35.13	3.71	-4.92
44	14.0	36.0	35.08	3.85	-4.77
45	14.0	36.0	35.16	3.67	-4.98
46	2.0	36.0	35.09	3.89	-4.80
47	2.0	36.0	35.16	3.69	-5.09
48	2.0	36.0	35.12	3.80	-4.92
49	14.0	36.0	34.98	3.93	-4.57
50	2.0	36.0	35.02	3.98	-4.62
51	14.0	36.0	34.87	4.16	-4.29
52	2.0	36.0	34.93	4.00	-4.52
53	2.0	36.0	34.99	4.08	-4.54
54	2.0	36.0	35.04	3.72	-4.79
55	2.0	36.0	34.96	3.94	-4.55
56	2.0	36.0	34.97	3.99	-4.59
57	2.0	36.0	34.98	3.97	-4.64
58	14.0	36.0	34.92	4.01	-4.42
59	2.0	36.0	34.95	3.99	-4.51
60	2.0	36.0	34.91	3.88	-4.43
61	14.0	36.0	34.89	3.98	-4.39
62	14.0	36.0	34.83	4.01	-4.21
63	14.0	36.0	34.91	3.86	-4.44
64	14.0	36.0	34.75	4.28	-4.04
65	14.0	36.0	34.73	4.30	-4.02
66	14.0	36.0	34.80	4.12	-4.20
67	14.0	36.0	34.81	4.12	-4.20
68	14.0	36.0	34.79	4.16	-4.16
69	14.0	36.0	34.84	4.07	-4.24
70	14.0	36.0	34.78	4.10	-4.15
71	14.0	36.0	34.82	4.09	-4.19
72	14.0	36.0	34.79	4.16	-4.12
73	14.0	36.0	34.74	4.18	-4.05
74	14.0	36.0	34.83	4.05	-4.27
75	14.0	36.0	34.73	4.29	-4.00
76	14.0	36.0	34.69	4.37	-3.96
77	14.0	36.0	34.76	4.23	-4.12
78	14.0	36.0	34.71	4.35	-4.01
79	14.0	36.0	34.72	4.25	-4.05
80	14.0	36.0	34.66	4.41	-3.94
81	14.0	36.0	34.66	4.41	-3.89
82	14.0	36.0	34.70	4.31	-3.98
83	14.0	36.0	34.80	4.16	-4.17
84	14.0	36.0	34.75	4.23	-4.06
85	14.0	36.0	34.76	4.19	-4.04
86	14.0	36.0	34.67	4.35	-3.89
87	14.0	36.0	34.62	4.44	-3.80
88	14.0	36.0	34.57	4.52	-3.74
89	14.0	36.0	34.59	4.55	-3.77
90	14.0	36.0	34.49	4.64	-3.63
91	14.0	36.0	34.62	4.37	-3.83
92	14.0	36.0	34.60	4.43	-3.81
93	14.0	36.0	34.59	4.43	-3.79
94	14.0	36.0	34.46	4.59	-3.54
95	14.0	36.0	34.49	4.64	-3.63
96	14.0	36.0	34.57	4.43	-3.77
97	14.0	36.0	34.55	4.51	-3.75
98	14.0	36.0	34.56	4.48	-3.72
99	14.0	36.0	34.48	4.62	-3.57
100	14.0	36.0	34.52	4.58	-3.67
101	14.0	36.0	34.53	4.54	-3.68
102	14.0	36.0	34.47	4.52	-3.59
103	14.0	36.0	34.45	4.69	-3.57
104	14.0	36.0	34.34	4.87	-3.41
105	14.0	36.0	34.30	4.64	-3.37
106	14.0	36.0	34.22	4.73	-3.29
107	14.0	36.0	34.16	4.81	-3.25
108	14.0	36.0	34.27	4.68	-3.39
109	14.0	36.0	34.38	4.62	-3.52
110	14.0	36.0	34.33	4.66	-3.44
111	14.0	36.0	34.34	4.76	-3.45
112	14.0	36.0	34.34	4.73	-3.44
113	14.0	36.0	34.16	4.89	-3.26
114	14.0	36.0	34.08	5.10	-3.16
115	14.0	36.0	34.13	5.00	-3.23
116	14.0	36.0	34.08	5.06	-3.17
117	14.0	36.0	34.08	4.98	-3.17
118	14.0	36.0	34.09	5.08	-3.16
119	14.0	36.0	34.05	5.08	-3.15
120	14.0	36.0	33.99	5.15	-3.08
121	14.0	36.0	34.08	5.04	-3.17
122	14.0	36.0	34.03	5.14	-3.13
123	14.0	36.0	33.97	5.08	-3.08
124	14.0	36.0	33.44	5.11	-2.70
125	14.0	36.0	33.44	5.34	-2.64
126	14.0	36.0	33.46	5.24	-2.65
127	14.0	36.0	33.58	5.14	-2.77
128	14.0	36.0	33.57	5.03	-2.74
129	14.0	36.0	33.50	5.16	-2.70
130	14.0	36.0	33.53	5.01	-2.73
131	14.0	36.0	33.25	5.31	-2.53
132	14.0	36.0	33.30	5.26	-2.58
133	14.0	36.0	33.31	5.31	-2.58
134	14.0	36.0	33.34	5.36	-2.61
135	14.0	36.0	33.37	5.27	-2.59
136	14.0	36.0	32.20	5.52	-2.03
137	14.0	36.0	32.42	5.36	-2.14
138	14.0	36.0	33.47	5.29	-2.63
139	14.0	36.0	32.44	5.43	-2.15
140	14.0	36.0	32.50	5.45	-2.19
141	14.0	36.0	32.45	5.47	-2.12
142	14.0	36.0	32.46	5.36	-2.13
143	14.0	36.0	32.21	5.45	-2.01
144	14.0	36.0	32.17	5.51	-2.01
145	14.0	36.0	32.11	5.53	-2.00
146	14.0	36.0	32.01	5.50	-1.96
147	14.0	36.0	32.24	5.48	-2.01
148	14.0	36.0	27.78	7.49	-0.76

